date	weight	goal
20161001	53.4	48
20161002	53.0	48
20161003	52.5	48
20161004	52.7	48
20161005	52.0	48
20161006	52.8	48
20161007	53.9	48
20161008	53.5	48
20161009	53.3	48
20161010	52.2	48
20161011	52.7	48
20161012	52.5	48
20161013	52.0	48
20161014	52.8	48
20161015	52.0	48
20161016	53.0	48
20161017	53.5	48
20161018	54.0	48
20161019	53.2	48
20161020	53.0	48
20161021	52.3	48
20161022	52.3	48
20161023	51.3	48
20161024	51.3	48
20161025	50.9	48
20161026	51.9	48
20161027	50.5	48
20161028	50.5	48
20161029	51.5	48
20161030	51.5	48
20161031	51.0	48
20161101	53.4	48
20161102	53.0	48
20161103	52.5	48
20161104	52.7	48
20161105	52.0	48
20161106	52.8	48
20161107	53.9	48
20161108	53.5	48
20161109	53.3	48
20161110	52.2	48
20161111	52.7	48
20161112	52.5	48
20161113	52.0	48
20161114	52.8	48
20161115	52.0	48
20161116	53.0	48
20161117	53.5	48
20161118	54.0	48
20161119	53.2	48
20161120	53.0	48
20161121	52.3	48
20161122	52.3	48
20161123	51.3	48
20161124	51.3	48
20161125	50.9	48
20161126	51.9	48
20161127	50.5	48
20161128	50.5	48
20161129	51.5	48
20161130	51.5	48
